128130,FAIRHOPE 2 NE,-87.9,30.6
138160,HIGHLAND HOME,-86.2,31.9
467190,PASADENA,-118.1,34.2
479160,SANTA CRUZ,-122.0,37.0
487580,TAHOE CITY,-120.1,39.2
522810,DILLON 1 E,-106.0,39.6
530050,FT COLLINS,-105.1,40.6
557220,MONTROSE #2,-107.9,38.5
878510,SAINT LEO,-82.3,28.3
901400,ALBANY 3 SE,-84.1,31.5
913400,BRUNSWICK,-81.5,31.2
937540,GLENNVILLE 3NW,-81.9,32.0
1019560,COEUR D'ALENE,-116.8,47.7
1028450,DWORSHAK FISH HATCHERY,-116.3,46.5
1041400,HAZELTON,-114.1,42.6
1046700,JEROME,-114.5,42.7
1061520,MOSCOW U OF I,-117.0,46.7
1081370,SANDPOINT EXP STN,-116.6,48.3
1144420,JACKSONVILLE 2E,-90.2,39.7
1158330,MORRISON,-90.0,41.8
1169100,PONTIAC,-88.6,40.9
1187400,URBANA,-88.2,40.1
1193540,WINDSOR,-88.6,39.4
1206760,BERNE WWTP,-84.9,40.7
1234180,GOSHEN 3SW,-85.9,41.6
1241810,HUNTINGTON,-85.5,40.9
1253370,MARION 2 N,-85.7,40.6
1265800,OOLITIC PURDUE EX FRM,-86.5,38.9
1272980,RENSSELAER,-87.2,40.9
1291130,VINCENNES 5 NE,-87.5,38.7
1314020,CHARLES CITY,-92.7,43.1
1327890,FAIRFIELD,-92.0,41.0
1328640,FAYETTE,-91.8,42.9
1382960,TOLEDO 3N,-92.6,42.0
1386880,WASHINGTON,-91.7,41.3
1435270,HAYS 1 S,-99.3,38.9
1451520,MCPHERSON,-97.6,38.4
1461280,OTTAWA,-95.3,38.6
1475420,SMITH CTR,-98.8,39.8
1534300,GREENSBURG,-85.5,37.3
1547030,LEITCHFIELD 2 N,-86.3,37.5
1698060,WINNSBORO 5 SSE,-91.7,32.1
1739440,HOULTON 5N,-67.8,46.2
1769050,PORTLAND JETPORT,-70.3,43.7
1769370,PRESQUE ISLE,-68.0,46.7
1798910,WOODLAND,-67.4,45.2
1878060,ROYAL OAK 2 SSW,-76.2,38.7
1907360,BLUE HILL,-71.1,42.2
2002300,ANN ARBOR U OF,-83.7,42.3
2007790,BIG RAPIDS WTR WKS,-85.5,43.7
2036320,HART 3 WSW,-86.4,43.7
2040900,IRON MT KINGSFORD WWTP,-88.1,45.8
2041040,IRONWOOD,-90.2,46.5
2056900,MUNISING,-86.7,46.4
2063000,OWOSSO WWTP,-84.2,43.0
2116300,CLOQUET,-92.5,46.7
2126450,EVELETH WWTP,-92.5,47.5
2126980,FAIRMONT,-94.5,43.6
2141060,ITASCA UNIV OF MINN,-95.2,47.2
2146520,LEECH LAKE,-94.2,47.3
2156380,MORRIS WC EXP STN,-95.9,45.6
2161520,OLIVIA 3E,-94.9,44.8
2165650,PIPESTONE,-96.3,44.0
2174600,SANDY LAKE DAM LIBBY,-93.3,46.8
2184190,TWO HARBORS,-91.7,47.0
2218650,COLUMBIA,-89.8,31.3
2271110,PONTOTOC EXP STN,-89.0,34.1
2318220,CONCEPTION,-94.7,40.2
2350270,LOCKWOOD,-93.9,37.4
2359760,NEOSHO,-94.4,36.9
2380510,STEFFENVILLE,-91.9,40.0
2415520,CASCADE 5 S,-111.7,47.2
2427930,ENNIS,-111.7,45.3
2431100,FT ASSINNIBOINE,-109.8,48.5
2435580,GLASGOW INTL AP,-106.6,48.2
2435810,GLENDIVE,-104.7,47.1
2440380,HEBGEN DAM,-111.3,44.9
2440550,HELENA AP ASOS,-112.0,46.6
2450150,LIBBY 1 NE RS,-115.5,48.4
2456900,MILES CITY AP,-105.9,46.4
2457610,MOCCASIN EXP STN,-109.9,47.1
2461570,NORRIS MADISON PH,-111.6,45.5
2485010,VALIER,-112.2,48.3
2504350,AUBURN 5 ESE,-95.7,40.4
2520200,CRETE,-96.9,40.6
2531750,GENEVA,-97.6,40.5
2531850,GENOA 2 W,-97.8,41.5
2536300,HARTINGTON,-97.3,42.6
2539100,HOLDREGE,-99.4,40.5
2561350,OAKDALE,-98.0,42.1
2569700,PURDUM,-100.2,42.1
2649500,MCGILL,-114.8,39.4
2691710,WINNEMUCCA AP,-117.8,40.9
2707060,BETHLEHEM 2,-71.7,44.3
2721740,DURHAM,-70.9,43.2
2729990,FIRST CONNECTICUT LAKE,-71.3,45.1
2738500,HANOVER,-72.3,43.7
2743990,KEENE,-72.3,42.9
2830290,FLEMINGTON 5 NNW,-74.9,40.6
2860550,NEW BRUNSWICK 3 SE,-74.4,40.5
2914690,CARLSBAD,-104.2,32.4
